勘定科目ID,勘定科目名,決算書表示名,決算書表示名ID,勘定科目カテゴリー,勘定科目のカテゴリーID,ショートカット1,ショートカット2,勘定科目の使用設定（true: 使用する、false: 使用しない）,税区分コード,口座ID
819804434,支払報酬料,支払報酬料,700759745,販売管理費,93,SHIHARAI,771,TRUE,34,
819804352,支払手形,支払手形,700759746,仕入債務,49,SHIHARAI,400,TRUE,2,
819804427,支払手数料,支払手数料,700759747,販売管理費,93,SHIHARAI,766,TRUE,34,
819804338,敷金,敷金,700759748,投資その他の資産,44,SHIKIKIN,242,TRUE,2,
819804389,新株予約権,新株予約権,700759749,新株予約権,70,SHINKABU,590,TRUE,2,
819804377,新株式申込証拠金,新株式申込証拠金,700759750,新株式申込証拠金,55,SHINKABU,510,TRUE,2,
819804425,新聞図書費,新聞図書費,700759751,販売管理費,93,SHINBUN,764,TRUE,34,
819804330,施設利用権,施設利用権,700759752,無形固定資産,43,SHISETSU,221,TRUE,34,
819804417,旅費交通費,旅費交通費,700759753,販売管理費,93,RYOHI,755,TRUE,34,
819804300,有価証券,有価証券,700759754,有価証券,38,YUUKASHO,150,TRUE,2,
819804453,有価証券売却損,有価証券売却損,700759755,営業外費用,96,YUUKASHO,834,TRUE,2,
